cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
181	SEDES MONTEVIDEO	SMVDYGRAL	Sedes Montevideo	SMVDYGRAL	Sedes Montevideo	MAGIX
351	SEDES MONTEVIDEO	SMVDYGRAL	Sedes Montevideo	SMVDYGRAL	Sedes Montevideo	MAGIX
383	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
385	SEDES MONTEVIDEO	SMVDYGRAL	Sedes Montevideo	SMVDYGRAL	Sedes Montevideo	MAGIX
147	SEDES MONTEVIDEO	SMVDYGRAL	Sedes Montevideo	SMVDYGRAL	Sedes Montevideo	MAGIX
270	SEDE PUNTA DEL ESTE- MALDONADO	SMVDYGRAL	Sede Punta Del Este- Maldonado	SMVDYGRAL	Sede Punta Del Este- Maldonado	MAGIX
349	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
460	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
462	CAMPUS MONTEVIDEO	SMVDYGRAL	Campus Montevideo	SMVDYGRAL	Campus Montevideo	MAGIX
173	SECRETARIA SEDE CENTRO	SMVDYGRAL	Secretaria Sede Centro	SMVDYGRAL	Secretaria Sede Centro	MAGIX
145	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
282	SEDES MONTEVIDEO	SMVDYGRAL	Sedes Montevideo	SMVDYGRAL	Sedes Montevideo	MAGIX
468	UCU BUSINESS SCHOOL	UCUBS	Ucu Business School	UCUBS	Ucu Business School	MAGIX
428	UCU BUSINESS SCHOOL	UCUBS	Ucu Business School	UCUBS	Ucu Business School	MAGIX
471	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	VCU	Dirección De Asuntos Internacionales Y Alumni	VCU	Dirección De Asuntos Internacionales Y Alumni	MAGIX
294	DRIC-SECRETARÍA DE COMUNICACIÓN INSTITUCIONAL	VCU	Dric-Secretaría De Comunicación Institucional	VCU	Dric-Secretaría De Comunicación Institucional	MAGIX
297	DRIC-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	VCU	Dric-Dirección De Comunicación Institucional	VCU	Dric-Dirección De Comunicación Institucional	MAGIX
235	DRIC-SECRETARÍA DE ADMISIÓN	VCU	Dric-Secretaría De Admisión	VCU	Dric-Secretaría De Admisión	MAGIX
296	DRIC-SECRETARÍA DE PROMOCIÓN	VCU	Dric-Secretaría De Promoción	VCU	Dric-Secretaría De Promoción	MAGIX
260	DRIC-SECRETARÍA DE COMUNICACIÓN INSTITUCIONAL	VCU	Dric-Secretaría De Comunicación Institucional	VCU	Dric-Secretaría De Comunicación Institucional	MAGIX
261	DRIC-SECRETARÍA DE RELACIONES INSTITUCIONALES	VCU	Dric-Secretaría De Relaciones Institucionales	VCU	Dric-Secretaría De Relaciones Institucionales	MAGIX
295	DRIC-SECRETARÍA DE RELACIONES INSTITUCIONALES	VCU	Dric-Secretaría De Relaciones Institucionales	VCU	Dric-Secretaría De Relaciones Institucionales	MAGIX
269	DRIC-SECRETARÍA DE ADMISIÓN	VCU	Dric-Secretaría De Admisión	VCU	Dric-Secretaría De Admisión	MAGIX
473	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU	Vicerrectoría De La Comunidad Universitaria	VCU	Vicerrectoría De La Comunidad Universitaria	MAGIX
338	DCI-SECRETARÍA DE ADMISIÓN	VCU	Dci-Secretaría De Admisión	VCU	Dci-Secretaría De Admisión	MAGIX
305	DRIC-SECRETARÍA DE ADMISIÓN	VCU	Dric-Secretaría De Admisión	VCU	Dric-Secretaría De Admisión	MAGIX
364	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU	Vicerrectoría De La Comunidad Universitaria	VCU	Vicerrectoría De La Comunidad Universitaria	MAGIX
372	DCI-SECRETARÍA DE ADMISIÓN	VCU	Dci-Secretaría De Admisión	VCU	Dci-Secretaría De Admisión	MAGIX
374	DCI-SECRETARÍA DE PROMOCIÓN	VCU	Dci-Secretaría De Promoción	VCU	Dci-Secretaría De Promoción	MAGIX
378	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	VCU	Dci-Dirección De Comunicación Institucional	VCU	Dci-Dirección De Comunicación Institucional	MAGIX
388	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	VCU	Dirección De Asuntos Estudiantiles	VCU	Dirección De Asuntos Estudiantiles	MAGIX
395	DCI-SECRETARÍA DE COMUNICACIÓN	VCU	Dci-Secretaría De Comunicación	VCU	Dci-Secretaría De Comunicación	MAGIX
396	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	VCU	Dirección De Asuntos Internacionales Y Alumni	VCU	Dirección De Asuntos Internacionales Y Alumni	MAGIX
363	SERVICIO DE ATENCIÓN ESTUDIANTIL	VCU	Servicio De Atención Estudiantil	VCU	Servicio De Atención Estudiantil	MAGIX
397	SERVICIO DE ATENCIÓN ESTUDIANTIL	VCU	Servicio De Atención Estudiantil	VCU	Servicio De Atención Estudiantil	MAGIX
433	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU	Vicerrectoría De La Comunidad Universitaria	VCU	Vicerrectoría De La Comunidad Universitaria	MAGIX
431	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	VCU	Dirección De Asuntos Internacionales Y Alumni	VCU	Dirección De Asuntos Internacionales Y Alumni	MAGIX
430	DCI-SECRETARÍA PUBLICIDAD Y PRODUCCIÓN	VCU	Dci-Secretaría Publicidad Y Producción	VCU	Dci-Secretaría Publicidad Y Producción	MAGIX
409	DCI-SECRETARÍA DE COMUNICACIÓN INTERNA	VCU	Dci-Secretaría De Comunicación Interna	VCU	Dci-Secretaría De Comunicación Interna	MAGIX
133	DIRECCIÓN DE RELACIONES INSTITUCIONALES Y COMUNICACIONES	VCU	Dirección De Relaciones Institucionales Y Comunicaciones	VCU	Dirección De Relaciones Institucionales Y Comunicaciones	MAGIX
411	DCI-SECRETARÍA DE PROMOCIÓN	VCU	Dci-Secretaría De Promoción	VCU	Dci-Secretaría De Promoción	MAGIX
415	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	VCU	Dci-Dirección De Comunicación Institucional	VCU	Dci-Dirección De Comunicación Institucional	MAGIX
398	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU	Vicerrectoría De La Comunidad Universitaria	VCU	Vicerrectoría De La Comunidad Universitaria	MAGIX
