CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
362	DIRECCI�N DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	INTERESTL
363	SERVICIO DE ATENCI�N ESTUDIANTIL                                                                    	SAE
364	VICERRECTOR�A DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU
366	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
367	FACULTAD DE DERECHO                                                                                 	FD
368	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
369	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
370	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
371	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
372	DCI-SECRETAR�A DE ADMISI�N                                                                          	DCI
373	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
374	DCI-SECRETAR�A DE PROMOCI�N                                                                         	DCI
375	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
376	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
377	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
378	DCI-DIRECCI�N DE COMUNICACI�N INSTITUCIONAL                                                         	DCI
379	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
380	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
381	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
382	FACULTAD DE ENFERMER�A Y TECNOLOG�AS DE LA SALUD                                                    	FETS
383	GENERALES                                                                                           	Generales 
384	CENTRO DE DESARROLLO T�CNICO PROFESIONAL                                                            	CDTP
385	SEDES MONTEVIDEO                                                                                    	MDEO
386	RECTOR�A                                                                                            	Rector�a  
387	REGISTRO ACAD�MICO                                                                                  	ORA
388	DIRECCI�N DE ASUNTOS ESTUDIANTILES                                                                  	DAE       
390	VICERRECTOR�A ADMINISTRATIVA                                                                        	VRAD      
391	CENTRO DE IDIOMAS                                                                                   	DPING     
392	ESCUELA DE NEGOCIOS                                                                                 	ESCNEG
393	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
395	DCI-SECRETAR�A DE COMUNICACI�N                                                                      	DCI       
396	DIRECCI�N DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	INTERESTL
397	SERVICIO DE ATENCI�N ESTUDIANTIL                                                                    	SAE
398	VICERRECTOR�A DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU
399	VICERRECTOR�A DE PROGRAMAS ACAD�MICOS                                                               	VPA       
400	VICERRECTOR�A DE INVESTIGACI�N E INNOVACI�N                                                         	VII
401	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS                                                             	VII-deptos
402	CENTRO DE EDUCACI�N CONTINUA                                                                        	CEC       
403	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
404	FACULTAD DE DERECHO                                                                                 	FD
405	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
406	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
408	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
409	DCI-SECRETAR�A DE COMUNICACI�N INTERNA                                                              	DCI
410	CAMPUS PUNTA DEL ESTE                                                                               	PESTE     
411	DCI-SECRETAR�A DE PROMOCI�N                                                                         	DCI
412	CAMPUS SALTO                                                                                        	SALTO     
413	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
414	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
415	DCI-DIRECCI�N DE COMUNICACI�N INSTITUCIONAL                                                         	DCI
416	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
417	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
418	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
420	GENERALES                                                                                           	Generales 
421	CENTRO DE DESARROLLO T�CNICO PROFESIONAL                                                            	CDTP
422	SEDES MONTEVIDEO                                                                                    	MDEO
423	RECTOR�A                                                                                            	Rector�a  
424	OFICINA DE TITULACI�N                                                                               	TITULACION
425	DIRECCI�N DE ASUNTOS ESTUDIANTILES                                                                  	DAE       
426	VICERRECTOR�A ADMINISTRATIVA                                                                        	VRAD      
427	CENTRO DE IDIOMAS                                                                                   	DPING     
428	UCU BUSINESS SCHOOL                                                                                 	UCUBS     
429	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
430	DCI-SECRETAR�A PUBLICIDAD Y PRODUCCI�N                                                              	DCI
431	DIRECCI�N DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	INTERESTL
433	VICERRECTOR�A DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU
434	VICERRECTOR�A DE PROGRAMAS ACAD�MICOS                                                               	VPA       
435	VICERRECTOR�A DE INVESTIGACI�N E INNOVACI�N                                                         	VII
436	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS                                                             	VII-deptos
437	CENTRO DE EDUCACI�N CONTINUA                                                                        	CEC       
438	BEDEL�A                                                                                             	Bedel�a   
439	FACULTAD DE CIENCIAS DE LA SALUD                                                                    	FCS       
440	ESCUELA DE POSTGRADOS                                                                               	EPG       
441	DCI-SECRETAR�A DE CONTENIDOS Y PRENSA                                                               	DCI
443	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
444	FACULTAD DE DERECHO                                                                                 	FD
445	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
446	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
448	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
450	CAMPUS PUNTA DEL ESTE                                                                               	PESTE     
452	CAMPUS SALTO                                                                                        	SALTO     
453	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
454	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
455	DIRECCI�N DE COMUNICACI�N INSTITUCIONAL                                                             	DCI
456	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
457	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
458	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
460	GENERALES                                                                                           	Generales 
462	CAMPUS MONTEVIDEO                                                                                   	CAMPUS MVD
463	RECTOR�A                                                                                            	Rector�a  
464	OFICINA DE TITULACI�N                                                                               	TITULACION
465	DIRECCI�N DE ASUNTOS ESTUDIANTILES                                                                  	DAE       
466	VICERRECTOR�A ADMINISTRATIVA                                                                        	VRAD      
467	CENTRO DE IDIOMAS                                                                                   	DPING     
